Location,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"Jerome County, ID",0.478635,0.6,2.3,0.5,0.2,1.5,33.5,63.9
"Lanier County, GA",0.47837,23.0,0.9,1.4,0.0,2.5,5.2,68.2
"Johnston County, NC",0.477976,15.9,0.9,0.7,0.1,1.8,13.2,69.2
"Marion County, OR",0.477956,1.4,2.5,2.2,0.9,3.2,25.3,67.5
"San Saba County, TX",0.477309,3.6,1.3,0.3,0.0,1.4,29.0,66.1
"Stevens County, KS",0.477129,0.7,1.5,0.3,0.2,1.4,33.2,64.2
"Minidoka County, ID",0.476751,0.7,2.1,0.7,0.0,1.9,33.0,64.3
"Highlands County, FL",0.476665,10.4,0.7,1.5,0.1,1.6,18.2,69.2
"Avoyelles Parish, LA",0.476636,29.5,1.3,0.5,0.0,1.6,1.7,66.0
"Bolivar County, MS",0.476531,64.7,0.2,0.6,0.1,0.7,2.1,32.3
"Hamilton County, KS",0.476376,0.6,2.0,0.4,0.3,1.5,32.3,64.7
"Lipscomb County, TX",0.476363,1.8,1.9,0.4,0.2,2.4,31.6,65.0
"Pulaski County, MO",0.476335,12.5,1.0,2.9,0.7,4.5,10.4,70.3
"Costilla County, CO",0.476334,1.8,5.5,1.2,0.4,2.1,64.6,32.0
"McCulloch County, TX",0.475982,2.6,1.0,0.5,0.0,1.2,31.3,65.2
"Lee County, AL",0.475562,23.5,0.4,3.1,0.1,1.5,3.9,68.3
"Coosa County, AL",0.47498,31.3,0.7,0.2,0.2,1.2,2.1,65.3
"Winn Parish, LA",0.474835,30.5,0.7,0.3,0.0,1.2,1.7,65.7
"Valdez-Cordova Census Area, AK",0.474737,0.9,13.4,4.2,0.7,7.1,4.4,70.6
"Jackson County, MS",0.474727,22.0,0.4,2.2,0.1,1.8,5.2,68.8
"Greenville County, SC",0.474382,18.5,0.5,2.2,0.1,1.7,8.7,69.5
"Chambers County, TX",0.474088,8.3,1.1,1.3,0.1,1.4,20.6,69.0
"Reagan County, TX",0.473889,3.4,1.0,0.6,0.0,2.1,65.3,31.3
"Williamsburg County, SC",0.473051,65.5,0.4,0.4,0.0,0.8,2.2,31.2
"Pittsburg County, OK",0.47289,3.7,14.4,0.5,0.1,7.7,4.5,70.5
"Marion County, MS",0.472884,32.5,0.2,0.3,0.0,0.9,1.4,64.9
"Hennepin County, MN",0.472869,12.4,1.2,6.9,0.1,3.1,6.8,70.8
"Carroll County, MS",0.472853,33.3,0.2,0.2,0.0,0.9,1.2,64.5
"Glasscock County, TX",0.472771,1.8,0.7,0.1,0.2,0.5,32.5,64.9
"Vernon Parish, LA",0.472444,14.7,1.6,1.9,0.5,3.5,9.2,70.4
"Crockett County, TX",0.472156,1.7,1.8,0.8,0.1,0.9,64.2,33.9
"Cabarrus County, NC",0.472135,16.5,0.7,2.5,0.1,1.9,9.8,70.0
"Lawrence County, MS",0.471709,31.2,0.3,0.3,0.0,0.8,2.3,65.6
"Monroe County, FL",0.471566,6.9,0.5,1.3,0.1,1.7,21.7,69.0
WASHINGTON,0.471552,4.0,1.9,7.9,0.7,4.4,11.9,71.0
"Umatilla County, OR",0.471531,1.0,4.2,1.1,0.2,2.4,25.2,68.0
"Issaquena County, MS",0.471441,64.2,0.4,0.4,0.0,0.1,0.9,34.1
"Spartanburg County, SC",0.471425,20.9,0.4,2.3,0.0,1.6,6.2,69.3
"Douglas County, WA",0.47142,0.7,2.0,1.1,0.2,2.2,30.1,66.1
"Lincoln County, GA",0.471384,31.5,0.4,0.5,0.0,1.0,1.5,65.5
"DeSoto County, MS",0.471287,24.1,0.3,1.3,0.1,1.4,4.9,68.4
"Lehigh County, PA",0.471196,8.2,0.8,3.4,0.1,2.3,20.7,69.1
"Carter County, OK",0.470863,7.1,9.4,1.1,0.1,6.3,6.5,71.2
"Ashley County, AR",0.470825,25.8,0.7,0.2,0.1,1.3,5.2,67.8
"Washington Parish, LA",0.470683,30.3,0.4,0.3,0.0,1.1,2.1,66.1
"Delaware County, PA",0.470458,20.9,0.2,5.2,0.0,1.9,3.4,69.4
"Houston County, AL",0.470455,26.4,0.5,0.9,0.1,1.8,3.3,67.7
"San Augustine County, TX",0.470432,22.6,0.6,0.4,0.0,1.4,7.0,68.8
COLORADO,0.470384,4.4,1.6,3.0,0.2,2.8,21.0,69.4
"Do?a Ana County, NM",0.470253,2.2,2.3,1.3,0.2,1.8,66.6,29.1
"Drew County, AR",0.469828,28.1,0.4,0.7,0.0,1.1,2.8,67.1
"Pecos County, TX",0.469302,4.3,1.1,1.1,0.1,0.9,67.5,27.0
"Union County, SC",0.46879,31.5,0.3,0.3,0.1,1.4,1.1,65.7
"Suffolk County, NY",0.468776,8.2,0.6,3.8,0.1,1.7,17.7,70.1
"Fairbanks North Star Borough, AK",0.468523,5.5,7.1,2.9,0.4,6.3,7.7,71.6
"Sierra County, NM",0.46851,0.8,2.5,0.5,0.0,2.8,29.4,66.6
"Carson City, NV",0.468465,2.3,2.7,2.3,0.3,2.7,22.7,69.1
"Assumption Parish, LA",0.468315,29.8,0.6,0.3,0.1,0.9,2.3,66.5
"Lee County, FL",0.467708,9.0,0.5,1.6,0.1,1.5,19.1,69.8
"Montgomery County, TX",0.467128,4.7,1.0,2.6,0.1,1.7,21.9,69.4
"Hemphill County, TX",0.466856,0.7,1.2,0.9,0.1,0.7,31.6,65.8
"Appling County, GA",0.466746,19.6,0.5,0.8,0.2,1.0,9.4,69.7
"Custer County, OK",0.466396,3.3,7.0,1.5,0.1,3.6,16.2,70.7
"Chippewa County, MI",0.466258,6.8,15.4,0.8,0.0,4.9,1.6,70.9
"Lee County, MS",0.46585,28.6,0.3,0.8,0.0,1.1,2.4,67.2
"El Paso County, CO",0.465689,6.8,1.3,2.9,0.4,4.6,15.9,70.8
"Catahoula Parish, LA",0.46567,31.8,0.4,0.1,0.0,0.9,1.2,65.8
"Fisher County, TX",0.465557,3.8,1.0,0.3,0.0,1.7,27.5,67.6
"Weld County, CO",0.465316,1.3,1.7,1.4,0.2,2.1,28.4,67.3
"Jefferson County, KY",0.465121,21.4,0.2,2.4,0.1,2.2,4.7,69.7
"Sebastian County, AR",0.464907,6.7,2.3,4.5,0.2,3.3,13.1,71.4
"Franklin Parish, LA",0.46428,31.6,0.2,0.3,0.1,0.9,1.3,66.0
"Charlotte County, VA",0.464137,29.6,0.4,0.2,0.0,1.5,2.1,66.9
"Butts County, GA",0.464117,27.9,0.3,0.6,0.0,1.1,3.0,67.6
"Lucas County, OH",0.463857,19.5,0.4,1.7,0.0,2.8,6.5,70.2
"Washtenaw County, MI",0.463465,12.9,0.4,8.4,0.1,3.3,4.4,71.4
"Anne Arundel County, MD",0.463435,16.4,0.4,3.7,0.1,2.9,6.9,70.9
"Multnomah County, OR",0.463244,5.7,1.5,7.0,0.6,4.4,11.1,71.7
"Laurens County, SC",0.463094,25.9,0.4,0.4,0.2,1.3,4.2,68.4
"Saginaw County, MI",0.462977,19.3,0.5,1.2,0.1,2.0,8.0,70.2
"Spotsylvania County, VA",0.462061,15.9,0.4,2.5,0.2,3.2,8.3,71.0
"Haskell County, TX",0.461653,4.5,0.9,0.6,0.0,1.9,25.0,68.8
"Douglas County, NE",0.461351,11.6,1.1,3.1,0.1,2.5,11.7,71.4
"San Luis Obispo County, CA",0.461168,2.2,1.4,3.7,0.2,3.3,21.7,69.9
"Camden County, GA",0.460708,19.4,0.7,1.6,0.2,2.9,5.9,70.5
"Kearny County, KS",0.460697,0.8,1.3,0.6,0.0,1.6,29.3,67.3
"Ingham County, MI",0.460696,12.2,0.7,5.6,0.1,3.7,7.6,71.7
"Winnebago County, IL",0.460538,12.7,0.5,2.5,0.0,2.5,11.7,71.3
"Calcasieu Parish, LA",0.460464,25.2,0.6,1.2,0.1,1.7,2.9,68.9
"Columbia County, GA",0.459782,16.5,0.4,4.2,0.2,2.8,5.9,71.2
"Lafayette County, FL",0.459528,15.2,0.7,0.3,0.1,1.3,12.6,70.8
"Upson County, GA",0.459482,27.8,0.4,0.7,0.0,1.2,2.5,68.0
"Dougherty County, GA",0.459434,68.0,0.3,1.0,0.2,1.2,2.5,27.8
"Wrangell City and Borough, AK",0.459282,0.4,15.8,1.7,0.0,9.8,1.8,71.1
"Worth County, GA",0.459178,29.1,0.3,0.5,0.1,0.9,2.0,67.5
"Kershaw County, SC",0.458886,25.1,0.4,0.6,0.1,1.4,4.2,69.0
"Aransas County, TX",0.458668,1.8,1.2,2.2,0.1,1.7,26.1,68.7
"Wheeler County, TX",0.458657,2.9,1.4,0.6,0.0,1.7,26.6,68.5
"Lake County, TN",0.458456,28.0,0.4,0.2,0.0,1.8,2.0,68.0
"Evangeline Parish, LA",0.458428,28.5,0.3,0.5,0.0,1.0,2.3,67.8
"Henry County, AL",0.458425,27.5,0.4,0.8,0.0,1.1,2.5,68.2
"Fayette County, TN",0.458204,27.8,0.3,0.6,0.0,0.9,2.5,68.1
"Jackson Parish, LA",0.458114,29.3,0.3,0.3,0.0,1.3,1.5,67.5
"Johnston County, OK",0.457992,2.0,15.5,0.3,0.0,7.7,4.3,71.4
"Coal County, OK",0.457798,0.8,17.2,0.2,0.0,8.5,3.5,71.0
"Union Parish, LA",0.457789,26.4,0.4,0.2,0.1,0.7,4.3,68.6
"Choctaw County, MS",0.457591,30.3,0.3,0.3,0.1,1.2,1.4,67.1
"Irwin County, GA",0.457449,27.1,0.1,0.8,0.0,1.0,3.3,68.4
"Owyhee County, ID",0.456673,0.9,4.3,0.7,0.2,2.0,26.0,68.8
"Lincoln County, MS",0.456623,30.7,0.2,0.4,0.0,0.8,1.2,67.0
"Eagle County, CO",0.456385,1.0,1.3,1.2,0.1,1.1,29.8,67.4
"Hardeman County, TX",0.456357,6.3,1.0,0.4,0.0,2.3,21.5,70.2
"Clark County, AR",0.456246,23.9,0.6,0.7,0.0,1.4,4.4,69.6
"Dale County, AL",0.456053,19.6,0.8,1.3,0.1,2.8,5.7,70.8
"Bullock County, AL",0.455794,69.9,0.8,0.3,0.8,1.0,7.8,22.2
"Polk County, TX",0.455449,11.4,2.2,0.7,0.1,1.4,14.0,71.5
"Dillingham Census Area, AK",0.45543,0.4,71.0,0.9,0.2,9.2,2.4,17.7
"Chatham County, NC",0.455254,13.3,1.3,1.5,0.1,1.5,12.9,71.4
"Ascension Parish, LA",0.455234,22.8,0.4,1.2,0.1,1.1,5.0,70.0
"Fremont County, WY",0.454651,0.9,20.8,0.5,0.0,2.7,6.5,70.5
"East Carroll Parish, LA",0.453534,68.0,0.3,0.6,0.0,1.0,2.0,28.9
"Monroe County, MS",0.453225,30.6,0.2,0.2,0.0,0.9,1.1,67.3
"Coffee County, AL",0.452732,17.5,1.4,1.5,0.4,2.5,6.6,71.5
"Peoria County, IL",0.452343,18.0,0.4,3.6,0.0,2.8,4.4,71.5
"Atoka County, OK",0.45183,3.9,14.4,0.4,0.0,7.0,3.4,72.1
"Culpeper County, VA",0.451731,15.8,0.7,1.5,0.1,2.9,9.0,71.7
"Crawford County, IA",0.451626,1.9,1.1,1.5,0.3,0.8,27.5,68.7
"Bleckley County, GA",0.451218,26.8,0.1,0.9,0.0,1.0,2.6,69.0
"Wagoner County, OK",0.451123,3.9,10.3,1.5,0.0,7.2,5.3,72.7
"Perry County, AL",0.45099,67.6,0.2,0.4,0.0,0.6,1.3,30.3
"Lancaster County, VA",0.450788,28.2,0.2,0.7,0.0,1.1,1.7,68.5
"Lancaster County, SC",0.450722,23.2,0.4,0.8,0.0,1.3,4.9,70.2
"Falls Church city, VA",0.450661,4.9,0.4,9.4,0.1,4.0,9.7,72.6
"Tallapoosa County, AL",0.449672,27.1,0.4,0.5,0.0,1.1,2.5,69.0
"Miller County, AR",0.449569,24.6,0.8,0.5,0.1,1.8,3.0,69.9
"Chelan County, WA",0.449488,0.9,1.8,1.1,0.2,2.1,27.1,69.0
"Tehama County, CA",0.449472,0.9,3.3,1.3,0.2,3.4,23.5,70.2
"Pemiscot County, MO",0.449114,26.7,0.5,0.3,0.1,1.3,2.3,69.2
"Le Flore County, OK",0.448921,2.3,13.0,0.6,0.1,5.8,6.8,72.5
"Briscoe County, TX",0.448628,2.6,0.5,0.1,0.0,1.7,27.0,69.1
"Snohomish County, WA",0.448191,3.0,1.5,9.9,0.5,4.3,9.5,72.8
"Monroe County, NY",0.447941,16.0,0.4,3.5,0.1,2.4,7.9,72.0
"Lafayette County, MS",0.447832,23.8,0.3,2.6,0.1,1.0,2.3,70.3
"Comal County, TX",0.447469,2.1,0.8,1.0,0.1,1.6,26.2,69.5
"Henry County, VA",0.447298,22.0,0.3,0.6,0.0,1.7,5.2,70.8
"Yukon-Koyukuk Census Area, AK",0.447209,0.4,70.8,0.3,0.2,5.3,1.7,22.0
"Miller County, GA",0.447154,27.6,0.4,0.7,0.0,1.2,1.9,69.0
"Gooding County, ID",0.44709,0.5,1.8,0.8,0.2,1.8,28.8,68.5
"Lander County, NV",0.447005,1.0,5.5,0.6,0.0,2.0,23.5,70.3
"Lincoln County, ID",0.446872,0.5,1.6,0.5,0.1,1.4,28.4,68.7
"Hill County, MT",0.446804,0.5,22.9,0.6,0.1,3.6,3.1,70.6
"Wayne County, GA",0.446628,20.5,0.6,0.6,0.1,1.9,6.3,71.2
"Allen Parish, LA",0.446437,23.2,2.6,0.7,0.0,1.7,1.7,70.6
"Union County, FL",0.446389,22.5,0.4,0.3,0.0,1.4,5.4,70.7
"Garfield County, CO",0.446238,1.2,1.8,0.8,0.1,1.9,28.2,68.8
"Haskell County, OK",0.446161,0.7,16.6,0.7,0.0,7.0,3.8,72.1
"Haskell County, KS",0.445952,0.8,1.4,1.6,0.2,1.2,27.8,69.0
"Abbeville County, SC",0.445417,28.2,0.3,0.4,0.0,1.3,1.2,68.9
"Marion County, TX",0.445415,22.0,1.1,0.6,0.0,2.2,3.8,71.0
"Crenshaw County, AL",0.445408,24.1,0.5,1.7,0.1,1.6,1.8,70.4
"Irion County, TX",0.445284,1.9,0.5,0.3,0.0,1.8,26.9,69.4
"Putnam County, FL",0.445197,16.5,0.6,0.7,0.1,1.6,9.4,72.0
"Arkansas County, AR",0.444622,24.8,0.3,0.9,0.0,1.4,2.8,70.2
"Hall County, NE",0.444213,2.5,1.6,1.3,0.5,1.4,25.4,70.0
"Fayette County, KY",0.444007,14.9,0.3,3.7,0.1,2.4,6.9,72.6
"Esmeralda County, NV",0.443834,2.8,5.0,0.4,0.0,2.5,18.0,72.1
"Washington County, AR",0.443694,3.4,1.5,2.6,2.4,2.6,16.1,72.6
"Polk County, GA",0.443599,13.0,0.8,0.8,0.2,1.6,12.8,72.3
"Northumberland County, VA",0.443375,25.0,0.2,0.4,0.1,1.2,3.4,70.2
"Hamilton County, TN",0.443172,19.9,0.6,2.1,0.2,1.6,4.9,71.7
"Woodruff County, AR",0.443008,27.1,0.3,0.2,0.1,1.6,1.6,69.5
"Real County, TX",0.44249,1.0,1.7,0.2,0.4,1.8,26.9,69.6
"Coweta County, GA",0.442433,18.0,0.4,1.8,0.1,1.9,6.8,72.1
"Marin County, CA",0.442392,2.8,1.1,6.0,0.3,3.7,15.7,72.6
"York County, VA",0.442352,13.3,0.5,5.4,0.2,3.3,5.5,73.0
"York County, SC",0.442307,19.4,0.9,1.7,0.1,1.8,4.9,71.9
"Bryan County, OK",0.442237,1.8,13.4,0.7,0.0,7.2,5.3,72.9
"Isle of Wight County, VA",0.441937,24.2,0.5,1.0,0.1,1.9,2.4,70.6
"Floyd County, GA",0.441415,14.9,0.8,1.4,0.3,1.7,10.1,72.5
"Marion County, FL",0.440316,13.1,0.5,1.6,0.1,1.6,11.6,72.7
"Manatee County, FL",0.440223,9.3,0.5,1.9,0.1,1.6,15.3,72.6
"Rio Arriba County, NM",0.439907,0.9,18.0,0.8,0.2,1.8,71.4,13.2
"Jeff Davis County, GA",0.439733,15.5,0.7,0.6,0.0,1.0,10.9,72.4
"Rogers County, OK",0.439544,1.2,13.2,1.1,0.1,8.2,4.1,73.1
"Kleberg County, TX",0.43945,4.4,0.9,2.4,0.2,1.4,71.4,21.9
"Love County, OK",0.439377,2.1,7.5,0.6,0.0,5.4,14.2,72.9
"Carroll County, GA",0.439015,18.7,0.5,0.9,0.1,2.0,6.5,72.2
"Hill County, TX",0.438718,7.0,0.8,0.5,0.1,1.6,19.4,72.0
"Cleveland County, OK",0.43831,4.8,5.0,4.2,0.1,5.4,7.8,73.9
"Liberty County, FL",0.4376,19.1,1.3,0.4,0.0,1.5,6.5,72.2
"Lake County, FL",0.437584,10.5,0.6,2.1,0.1,1.8,13.3,73.0
"Rockwall County, TX",0.437303,6.1,0.7,2.7,0.1,1.8,16.7,72.8
"Kankakee County, IL",0.436835,15.4,0.4,1.0,0.0,1.8,9.5,72.8
"Quitman County, MS",0.436648,69.5,0.2,0.3,0.0,1.2,0.9,28.3
"Kendall County, IL",0.436344,6.2,0.5,3.3,0.0,1.9,16.4,72.9
"Dutchess County, NY",0.436062,10.9,0.5,3.8,0.1,2.3,11.3,73.3
"Morris County, NJ",0.436011,3.5,0.3,9.9,0.0,1.7,12.4,73.3
"Kerr County, TX",0.435695,2.1,1.1,1.0,0.1,1.7,25.2,70.7
"Dallas County, AL",0.4342,69.6,0.2,0.5,0.0,0.7,0.9,28.5
"Hinds County, MS",0.434097,70.3,0.2,0.8,0.0,0.9,1.6,26.7
"Deaf Smith County, TX",0.433894,1.9,1.7,0.5,0.1,1.0,69.9,27.7
"Pottawatomie County, OK",0.433827,3.1,13.1,0.7,0.1,6.4,4.7,73.6
"Fulton County, KY",0.433733,24.5,0.4,0.7,0.0,2.0,1.6,71.1
"Baraga County, MI",0.433451,7.5,13.6,0.3,0.0,4.5,1.3,73.5
"Lake County, CA",0.43342,2.0,4.1,1.3,0.3,4.4,18.4,72.7
"Pushmataha County, OK",0.433283,0.9,17.5,0.3,0.0,6.0,3.1,72.9
"Hutchinson County, TX",0.4329,2.8,2.0,0.5,0.1,2.3,22.0,71.9
"Taylor County, FL",0.431635,20.9,0.9,0.8,0.0,1.7,3.9,72.3
"Montgomery County, OH",0.431605,21.0,0.2,1.9,0.0,2.4,2.5,72.3
"Lyon County, KS",0.431593,2.8,1.3,2.6,0.1,2.4,20.5,72.4
"Uvalde County, TX",0.431513,1.2,1.0,0.6,0.1,0.9,69.9,28.2
"Jasper County, GA",0.430705,22.1,0.5,0.3,0.0,1.6,4.2,72.0
"Racine County, WI",0.430525,11.6,0.6,1.2,0.1,2.2,12.3,73.5
"Salt Lake County, UT",0.43042,1.9,1.3,3.7,1.6,2.5,17.6,73.2
"Oakland County, MI",0.430307,14.4,0.3,6.3,0.0,2.1,3.7,73.7
"Panola County, TX",0.428968,16.0,0.7,0.5,0.1,1.8,8.8,73.3
"Perquimans County, NC",0.428922,24.6,0.4,0.5,0.0,1.4,2.3,71.4
"Rowan County, NC",0.428703,16.5,0.6,1.1,0.1,1.5,8.0,73.3
"Barrow County, GA",0.428644,11.6,0.5,3.7,0.1,2.1,9.2,74.0
"Fayette County, TX",0.42817,6.8,1.2,0.4,0.1,1.0,19.6,72.7
"Union County, NC",0.428108,12.1,0.6,2.0,0.1,1.7,10.9,73.8
"Genesee County, MI",0.427875,20.8,0.6,1.0,0.0,2.5,3.2,72.6
"Ziebach County, SD",0.427673,0.4,71.6,0.3,0.0,3.4,3.7,23.9
"Washington County, OK",0.427552,2.7,10.5,1.7,0.0,6.2,5.5,74.4
"Rockingham County, NC",0.427547,18.9,0.5,0.6,0.1,1.7,5.9,73.0
"Schley County, GA",0.42736,21.9,0.1,1.1,0.0,0.8,4.2,72.3
"White Pine County, NV",0.42711,4.5,4.6,1.2,0.2,2.4,14.8,73.9
ARKANSAS,0.427039,15.6,1.0,1.5,0.3,1.9,6.9,73.7
"Wilkinson County, MS",0.426977,70.0,0.1,0.2,0.0,0.5,0.7,28.8
"Benton County, WA",0.426929,1.6,1.2,2.9,0.2,2.8,19.9,72.9
"Canyon County, ID",0.426789,0.8,1.7,0.9,0.3,2.4,24.4,71.6
"Morgan County, GA",0.426681,23.2,0.6,0.7,0.0,1.3,2.9,72.0
"Greene County, MS",0.426515,27.1,0.3,0.1,0.0,0.8,1.1,70.7
"Sharkey County, MS",0.426233,70.6,0.1,0.3,0.0,0.7,1.4,27.4
"Red River County, TX",0.425545,17.4,1.5,0.3,0.0,1.7,7.0,73.4
"Sullivan County, NY",0.425527,9.8,0.7,1.7,0.1,2.5,14.4,73.7
"Columbia County, FL",0.425468,18.4,0.5,1.1,0.1,1.8,5.4,73.3
"Murray County, OK",0.42533,1.8,12.8,0.4,0.1,6.6,5.5,74.2
"Wichita County, KS",0.425044,0.9,0.9,0.5,0.0,0.8,27.1,70.8
"Hunt County, TX",0.424854,8.4,1.2,1.2,0.2,1.9,14.6,73.9
"Rock Island County, IL",0.423906,9.6,0.5,2.2,0.0,2.6,12.3,74.2
"Butte County, CA",0.423592,1.8,2.4,4.4,0.3,4.1,15.1,74.1
"Walla Walla County, WA",0.423472,2.0,1.4,1.5,0.3,2.4,20.9,72.9
"Rutherford County, TN",0.423247,13.5,0.5,3.2,0.1,2.3,7.0,74.3
"Montezuma County, CO",0.422692,0.4,12.8,0.7,0.1,2.4,11.9,73.9
"Nome Census Area, AK",0.421728,0.7,73.8,1.3,0.1,6.2,1.8,17.1
"Washington County, MS",0.421677,71.3,0.2,0.7,0.0,0.6,1.3,26.4
"Monroe County, GA",0.42165,23.1,0.4,1.0,0.0,1.1,2.4,72.4
"Volusia County, FL",0.420775,11.0,0.5,1.7,0.1,1.9,12.0,74.3
"Lampasas County, TX",0.420595,4.0,1.1,1.3,0.3,2.9,18.7,73.6
"Churchill County, NV",0.420549,2.1,5.0,3.1,0.3,4.0,13.2,74.6
"Amelia County, VA",0.420531,22.3,0.6,0.7,0.1,1.5,3.0,72.7
"Cassia County, ID",0.42045,0.6,1.5,0.8,0.2,1.6,26.3,71.4
"Calhoun County, AL",0.420387,20.9,0.5,0.8,0.1,1.6,3.5,73.1
"Albany County, NY",0.420065,13.5,0.3,5.5,0.1,2.5,5.5,74.5
"Newton County, TX",0.4194,20.8,0.8,0.6,0.0,1.6,3.4,73.2
"Calhoun County, AR",0.419252,21.5,0.5,0.2,0.0,1.5,3.7,73.0
"Little River County, AR",0.418863,19.8,1.7,0.4,0.1,2.1,3.1,73.5
"Apache County, AZ",0.418588,0.7,73.5,0.4,0.0,1.7,6.3,19.2
"Bryan County, GA",0.418272,15.2,0.5,1.9,0.2,2.7,6.3,74.4
"Comanche County, TX",0.418065,0.9,1.2,0.3,0.0,0.9,26.8,71.4
"Ferry County, WA",0.417565,0.6,16.7,1.0,0.1,4.9,3.8,74.2
"Placer County, CA",0.417471,1.7,1.1,6.8,0.3,3.9,13.4,74.7
"St. Joseph County, IN",0.417403,13.1,0.5,2.2,0.1,2.6,7.9,74.7
"Elmore County, ID",0.417374,3.0,1.6,2.9,0.4,3.4,16.1,74.4
"Wilcox County, AL",0.417309,71.2,0.2,0.1,0.0,0.6,0.9,27.5
"Mississippi County, MO",0.41724,24.4,0.3,0.2,0.0,1.1,1.9,72.3
"Cherokee County, SC",0.41695,20.6,0.5,0.6,0.1,1.4,4.0,73.4
"Gulf County, FL",0.416587,19.0,0.5,0.4,0.0,1.8,4.8,73.8
"Pender County, NC",0.416583,17.3,0.8,0.7,0.1,1.8,6.3,74.1
"King George County, VA",0.416549,17.3,0.6,1.4,0.1,3.1,4.2,74.2
"Jones County, GA",0.416413,24.6,0.3,0.8,0.0,1.0,1.3,72.3
"Dewey County, SD",0.41609,0.2,72.9,0.2,0.0,3.8,2.9,22.4
"Noxubee County, MS",0.416043,71.7,0.2,0.2,0.0,0.8,1.0,26.4
"Los Alamos County, NM",0.415755,0.7,1.2,6.3,0.1,2.5,16.1,74.4
"Lee County, GA",0.415404,20.4,0.3,2.3,0.1,1.3,2.4,73.6
"Okaloosa County, FL",0.415203,9.9,0.7,3.2,0.3,3.9,8.3,75.2
"Brown County, TX",0.414858,3.6,0.8,0.6,0.1,1.6,20.8,73.5
"Shawnee County, KS",0.414644,8.8,1.4,1.3,0.1,3.9,11.5,75.0
"Hopkins County, TX",0.414569,7.4,1.0,0.6,0.1,1.9,16.1,74.4
"Kimble County, TX",0.41435,0.5,1.2,0.8,0.2,0.6,25.6,72.1
MASSACHUSETTS,0.414346,8.1,0.5,6.0,0.1,2.1,10.5,75.1
"Leflore County, MS",0.414104,72.6,0.4,0.7,0.0,0.7,2.5,24.1
"Morton County, KS",0.41396,0.8,1.5,2.0,0.3,1.9,21.5,73.4
"Beltrami County, MN",0.413556,0.7,20.8,0.7,0.1,3.2,1.9,73.6
"Hancock County, GA",0.413422,72.6,0.4,0.7,0.0,0.8,1.8,24.3
"Allendale County, SC",0.412457,72.9,0.2,0.5,0.0,0.8,2.8,23.5
"Blaine County, OK",0.412397,3.2,9.8,0.4,0.1,4.3,9.0,75.3
"Saline County, NE",0.411712,1.5,1.2,2.1,0.5,1.0,22.7,73.2
"Jackson County, IL",0.411708,14.8,0.5,3.7,0.1,2.7,4.2,75.0
"Essex County, MA",0.411591,6.0,0.8,3.6,0.1,2.2,18.0,74.2
"Paulding County, GA",0.411326,17.8,0.4,1.1,0.1,2.0,5.4,74.4
"Kent County, MI",0.410927,10.3,0.7,2.6,0.1,2.7,10.0,75.3
"Middlesex County, MA",0.410254,5.4,0.3,10.5,0.1,2.1,7.3,75.5
"Sussex County, DE",0.410139,12.9,1.3,1.2,0.1,2.1,9.2,75.1
"Crawford County, GA",0.409886,21.4,0.6,0.4,0.1,1.4,3.0,73.7
"Cleveland County, NC",0.409754,20.7,0.3,0.9,0.0,1.5,3.1,73.9
"Pamlico County, NC",0.409697,20.3,0.6,0.6,0.1,1.4,3.5,74.0
"Mackinac County, MI",0.409694,1.2,17.5,0.4,0.0,5.3,1.4,74.6
"Kiowa County, OK",0.409428,4.5,7.5,0.4,0.1,3.7,10.0,75.6
"Clay County, FL",0.409399,10.6,0.5,3.1,0.1,2.8,8.7,75.5
"Lavaca County, TX",0.409318,7.2,0.6,0.4,0.1,1.2,17.4,74.5
"Brown County, IL",0.409032,19.1,1.2,0.3,0.0,0.7,6.1,74.2
"Culberson County, TX",0.409028,1.1,2.6,1.3,0.0,2.5,73.4,22.5
"Lamar County, TX",0.408744,13.5,1.6,0.7,0.0,2.6,7.1,75.3
"Allen County, IN",0.408551,12.2,0.5,3.2,0.1,2.7,6.9,75.5
"Elmore County, AL",0.408283,21.1,0.4,0.7,0.1,1.5,2.8,73.9
"Gaston County, NC",0.408181,15.8,0.5,1.4,0.1,1.7,6.2,75.0
"Bacon County, GA",0.408091,16.3,0.4,0.5,0.1,1.3,7.5,74.8
TENNESSEE,0.407136,17.0,0.4,1.6,0.1,1.7,4.9,74.9
RHODE ISLAND,0.407071,7.5,0.9,3.3,0.2,2.5,13.6,75.3
"Sunflower County, MS",0.406226,72.8,0.3,0.4,0.0,0.6,1.5,25.2
"Jasper County, TX",0.405884,16.5,0.7,0.7,0.1,1.4,6.4,75.0
"Cross County, AR",0.405818,22.8,0.3,0.5,0.0,1.2,1.8,73.6
"Stephens County, TX",0.405812,2.5,1.1,0.4,0.0,0.9,22.4,73.7
"San Jacinto County, TX",0.405581,10.5,0.9,0.6,0.0,1.9,12.0,75.4
"Bingham County, ID",0.405175,0.5,7.4,0.7,0.1,1.7,17.6,74.7
"Benton County, AR",0.404968,1.9,1.9,3.4,0.4,2.3,16.0,75.3
"Reeves County, TX",0.404966,5.4,0.8,1.0,0.1,0.8,74.5,19.2
